TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL;TRADINGSESSION
4332842082;01.09.2021;09:59:38;FLOT;TQBR;87.99;150;13198.5;;B;1
4332842083;01.09.2021;09:59:38;PIKK;TQBR;1354;18;24372;;B;1
4332842084;01.09.2021;09:59:38;SELGP;TQBR;43.45;200;8690;;S;1
4332842085;01.09.2021;09:59:38;SLEN;TQBR;4.05;400;1620;;B;1
4332842086;01.09.2021;09:59:38;SLEN;TQBR;4.05;8200;33210;;B;1
4332842087;01.09.2021;09:59:38;SLEN;TQBR;4.05;7300;29565;;B;1
4332842088;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842089;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842090;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842091;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842092;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842093;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842094;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842095;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842096;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842097;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842098;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842099;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842100;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842101;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842102;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842103;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842104;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842105;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842106;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842107;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842108;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842109;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842110;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842111;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842112;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842113;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842114;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842115;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842116;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842117;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842118;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842119;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842120;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842121;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842122;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842123;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842124;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842125;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842126;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842127;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;B;1
4332842128;01.09.2021;09:59:38;SLEN;TQBR;4.05;100;405;;S;1
4332842129;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842130;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842131;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842132;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842133;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842134;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842135;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842136;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842137;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842138;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842139;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842140;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842141;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842142;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842143;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842144;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842145;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842146;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842147;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842148;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842149;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842150;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
4332842151;01.09.2021;09:59:39;TIPO;TQTD;0.1069;1;0.11;;B;1
